"VDC";"r Vo.V";"i Vo.V"
0.2165;0.0839094;0
0.217;0.0842924;0
0.2175;0.0846758;0
0.218;0.0850596;0
0.2185;0.0854437;0
0.219;0.0858283;0
0.2195;0.0862133;0
0.22;0.0865987;0
0.2205;0.0869844;0
0.221;0.0873705;0
0.2215;0.0877571;0
0.222;0.088144;0
0.2225;0.0885313;0
0.223;0.088919;0
0.2235;0.089307;0
0.224;0.0896954;0
0.2245;0.0900842;0
0.225;0.0904734;0
0.2255;0.090863;0
0.226;0.0912529;0
0.2265;0.0916431;0
0.227;0.0920338;0
0.2275;0.0924248;0
0.228;0.0928161;0
0.2285;0.0932078;0
0.229;0.0935999;0
0.2295;0.0939923;0
0.23;0.0943851;0
0.2305;0.0947782;0
0.231;0.0951716;0
0.2315;0.0955655;0
0.232;0.0959596;0
0.2325;0.0963541;0
0.233;0.0967489;0
0.2335;0.0971441;0
0.234;0.0975396;0
0.2345;0.0979354;0
0.235;0.0983316;0
0.2355;0.0987281;0
0.236;0.0991249;0
0.2365;0.099522;0
0.237;0.0999195;0
0.2375;0.100317;0
0.238;0.100715;0
0.2385;0.101114;0
0.239;0.101513;0
0.2395;0.101912;0
0.24;0.102311;0
0.2405;0.102711;0
0.241;0.103111;0
0.2415;0.103511;0
0.242;0.103912;0
0.2425;0.104313;0
0.243;0.104714;0
0.2435;0.105115;0
0.244;0.105517;0
0.2445;0.105919;0
0.245;0.106322;0
0.2455;0.106724;0
0.246;0.107127;0
0.2465;0.107531;0
0.247;0.107934;0
0.2475;0.108338;0
0.248;0.108742;0
0.2485;0.109147;0
0.249;0.109552;0
0.2495;0.109957;0
0.25;0.110362;0
0.2505;0.110768;0
0.251;0.111173;0
0.2515;0.11158;0
0.252;0.111986;0
0.2525;0.112393;0
0.253;0.1128;0
0.2535;0.113207;0
0.254;0.113614;0
0.2545;0.114022;0
0.255;0.11443;0
0.2555;0.114839;0
0.256;0.115247;0
0.2565;0.115656;0
0.257;0.116065;0
0.2575;0.116475;0
0.258;0.116884;0
0.2585;0.117294;0
0.259;0.117704;0
0.2595;0.118115;0
0.26;0.118525;0
0.2605;0.118936;0
0.261;0.119347;0
0.2615;0.119759;0
0.262;0.12017;0
0.2625;0.120582;0
0.263;0.120994;0
0.2635;0.121407;0
0.264;0.121819;0
0.2645;0.122232;0
0.265;0.122645;0
0.2655;0.123059;0
0.266;0.123472;0
0.2665;0.123886;0
